"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"Eurorack_Panel_ScrewHole_Oval";2;"Eurorack_Panel_ScrewHole_Oval";;;
2;"J4";"PJ301M-12_T_S";1;"EXT CLK IN";;;
3;"D9";"LED_D5.0mm";1;"CLOCK OUT LED";;;
4;"J9";"PinHeader_1x15_P2.54mm_Vertical";1;"Conn_01x15_Pin_Right";;;
5;"J2";"PJ301M-12_T_S";1;"GATE OUT 2";;;
6;"J3";"PJ301M-12_T_S";1;"CLOCK OUT";;;
7;"SW1";"SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm";1;"SW_SPDT (Internal Pullup)";;;
8;"D6";"LED_D5.0mm";1;"GATE OUT 2 LED";;;
9;"D2";"LED_D5.0mm";1;"GATE OUT 1 LED";;;
10;"RV1";"Alpha9mmPot";1;"100K MULTI/DIV";;;
11;"RV2";"Alpha9mmPot";1;"100K RATE";;;
12;"J1";"PJ301M-12_T_S";1;"GATE OUT 1";;;
13;"J6";"PinHeader_1x15_P2.54mm_Vertical";1;"Conn_01x15_Pin_Left";;;
14;"R1,R4,R9,R6,R3,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"470";;;
15;"D8,D4,D10,D12,D5,D3,D1,D11";"D_DO-35_SOD27_P7.62mm_Horizontal";8;"BAT43";;;
16;"J8";"PinSocket_1x15_P2.54mm_Vertical";1;"Conn_01x15_Socket_Right";;;
17;"J7";"PinSocket_1x15_P2.54mm_Vertical";1;"Conn_01x15_Socket_Left";;;
18;"R8,R2,R5,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"22K";;;
19;"D7";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"IN4148";;;
20;"C2,C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"220p";;;
21;"J5";"IDC-Header_2x05_P2.54mm_Vertical";1;"EURO_PWR_2x5";;;
22;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
